id,productCode,name,categoryName,description,price,originalPrice,baseLikes,baseShares,isNewArrival,isLimitedStock,isMostSold,isMostLiked,badge,badgeClass,sellerId,colorName,colorCode,imagePath
201,POLO-001,Premium Pique Polo Shirt,Polo Shirts,A refined men's polo shirt cut for a clean fit from breathable piqu̩ cotton. Finished with a classic ribbed collar and two-button placket.,899,1299,142,34,TRUE,FALSE,FALSE,TRUE,Most Liked,badge-liked,palrix-fashion,Navy Blue,#1d2e47,images/products/polo_navy.jpg
201,POLO-001,Premium Pique Polo Shirt,Polo Shirts,A refined men's polo shirt cut for a clean fit from breathable piqu̩ cotton. Finished with a classic ribbed collar and two-button placket.,899,1299,142,34,TRUE,FALSE,FALSE,TRUE,Most Liked,badge-liked,palrix-fashion,Navy Blue,#1d2e47,images/products/polo_navy_detail.jpg
201,POLO-001,Premium Pique Polo Shirt,Polo Shirts,A refined men's polo shirt cut for a clean fit from breathable piqu̩ cotton. Finished with a classic ribbed collar and two-button placket.,899,1299,142,34,TRUE,FALSE,FALSE,TRUE,Most Liked,badge-liked,palrix-fashion,Slate Grey,#8a8d91,images/products/polo_grey.jpg
201,POLO-001,Premium Pique Polo Shirt,Polo Shirts,A refined men's polo shirt cut for a clean fit from breathable piqu̩ cotton. Finished with a classic ribbed collar and two-button placket.,899,1299,142,34,TRUE,FALSE,FALSE,TRUE,Most Liked,badge-liked,palrix-fashion,Slate Grey,#8a8d91,images/products/polo_grey_detail.jpg
202,TEE-001,Minimalist Graphic Tee,T-Shirts,An off-duty essential crewneck t-shirt featuring a subtle minimalist chest graphic print. Soft-washed for comfort.,499,799,89,12,TRUE,TRUE,FALSE,FALSE,New Arrival,badge-new,palrix-fashion,White,#e8e9eb,images/products/tee_white.jpg
202,TEE-001,Minimalist Graphic Tee,T-Shirts,An off-duty essential crewneck t-shirt featuring a subtle minimalist chest graphic print. Soft-washed for comfort.,499,799,89,12,TRUE,TRUE,FALSE,FALSE,New Arrival,badge-new,palrix-fashion,White,#e8e9eb,images/products/tee_white_detail.jpg
202,TEE-001,Minimalist Graphic Tee,T-Shirts,An off-duty essential crewneck t-shirt featuring a subtle minimalist chest graphic print. Soft-washed for comfort.,499,799,89,12,TRUE,TRUE,FALSE,FALSE,New Arrival,badge-new,palrix-fashion,Black,#1c1d1f,images/products/tee_black.jpg
202,TEE-001,Minimalist Graphic Tee,T-Shirts,An off-duty essential crewneck t-shirt featuring a subtle minimalist chest graphic print. Soft-washed for comfort.,499,799,89,12,TRUE,TRUE,FALSE,FALSE,New Arrival,badge-new,palrix-fashion,Black,#1c1d1f,images/products/tee_black_detail.jpg
203,DEN-001,Super-Stretch Slim Jeans,Jeans,"Crafted from premium stretch-cotton denim, these slim-fit jeans provide exceptional flexibility and comfort all day long.",1499,2299,256,87,FALSE,FALSE,TRUE,FALSE,Most Sold,badge-sold,palrix-fashion,Indigo Blue,#253b59,images/products/jeans_blue.jpg
203,DEN-001,Super-Stretch Slim Jeans,Jeans,"Crafted from premium stretch-cotton denim, these slim-fit jeans provide exceptional flexibility and comfort all day long.",1499,2299,256,87,FALSE,FALSE,TRUE,FALSE,Most Sold,badge-sold,palrix-fashion,Charcoal Black,#232426,images/products/jeans_black.jpg
204,CRG-001,Utility Cargo Joggers,Cargo Pants,"A modern take on cargo pants. Features an elasticated waist with drawstring, utility side pockets, and cuffed ankles.",1299,1899,195,64,FALSE,TRUE,FALSE,FALSE,Limited Stock,badge-stock,palrix-fashion,Khaki Brown,#9c8b74,images/products/cargo_khaki.jpg
204,CRG-001,Utility Cargo Joggers,Cargo Pants,"A modern take on cargo pants. Features an elasticated waist with drawstring, utility side pockets, and cuffed ankles.",1299,1899,195,64,FALSE,TRUE,FALSE,FALSE,Limited Stock,badge-stock,palrix-fashion,Olive Green,#556b2f,images/products/cargo_olive.jpg
